reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,apps
5137db44-22bd-4f77-8370-0d85d183507d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat membantu,5,0,5.414.0,2026-06-21 08:44:38,,,5.414.0,Grab
e1bc2bab-2922-48a6-a1e6-ff33c7d207f4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,oke gass,5,0,5.414.0,2026-06-21 08:38:39,,,5.414.0,Grab
8f57de7e-a6ed-4a91-a5b4-c6fc519208f3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi andalan kalau mau pergi-pergi. Nyari drivernya cepet banget, gak pake nunggu lama langsung dapet. Abang drivernya juga ramah-ramah dan amanah. sama kadang suka pesen makanan juga, mudah banget.",5,0,5.414.0,2026-06-21 08:38:33,,,5.414.0,Grab
33c314cb-f574-4bf2-800a-bef086201a56,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,,2026-06-21 08:37:53,,,,Grab
7161ae81-4608-46a1-b4da-c79dfc6ccec5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,semakin kesini semakin ga ngotak tarifnya. keterlaluan ambil potongan ke driver.,1,0,5.415.0,2026-06-21 08:37:39,"Halo Kak. Maaf ya buat enggak nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2026-06-21 13:12:57,5.415.0,Grab
37f311b6-2614-4f43-94d9-8a07c9d63a4c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolonglah sebagai konsumen setia grab aplikasi titik penjemputan ga pernah akurat koordinat nya, di perbaiki jugaa ketika rute pengantarannya biar ga muter muter juga ojek online nya , terimakasih",1,0,5.387.1,2026-06-21 08:33:21,"Halo Kak. Maaf ya buat enggak nyaman 🙇‍♀️
Apabila Kakak menemukan kendala pada penggunaan aplikasi Grab Penumpang maka silakan laporkan melalui link https://grb.to/consumeridhelpcenter agar bisa ditindaklanjuti ya.Terima kasih 🙏",2026-06-21 13:13:55,5.387.1,Grab
c8eba018-d80d-420e-b244-f0e52c216b3c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya menyukai aplikasi Grab karena sangat membantu dalam kebutuhan sehari-hari. Pemesanannya mudah, pilihan layanannya lengkap, dan prosesnya cepat. Selain itu, aplikasi ini memudahkan saya untuk transportasi, pesan makanan, dan pengiriman barang dalam satu aplikasi.",5,0,,2026-06-21 08:14:23,,,,Grab
435fdeec-a80b-4c6d-8d77-e8940ea3c548,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Best ride-hailing service ever,5,0,5.414.0,2026-06-21 08:10:14,,,5.414.0,Grab
6052aaac-b3d3-413b-b37a-c797374ef57a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,the best👍,5,0,5.414.0,2026-06-21 08:07:55,,,5.414.0,Grab
35e5dea7-940a-4b92-8909-d3ce711fbb6c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat bagus,5,0,5.414.0,2026-06-21 07:57:01,,,5.414.0,Grab
